epoch,TP,TN,FP,FN,precision,recall,f1_score,accuracy,average_loss,overall_accuracy
0,676.0,8889.0,7275.0,334.0,0.08502075210665325,0.6693069306930693,0.15087601830152883,0.5569465471060906,2.3022096157073975,0.0777
1,924.0,4192.0,867.0,86.0,0.5159128978224455,0.9148514851485149,0.6597643698679043,0.8429724831108915,1.889721941947937,0.5722
2,903.0,1599.0,104.0,107.0,0.8967229394240318,0.8940594059405941,0.8953891918691126,0.9222263177294507,1.6398285508155823,0.8294
3,883.0,1483.0,48.0,127.0,0.9484425349087003,0.8742574257425743,0.9098402885110768,0.931129476584022,1.6257744550704956,0.839
4,955.0,1393.0,78.0,55.0,0.9244917715392061,0.9455445544554455,0.9348996573666177,0.9463925836356308,1.608391559123993,0.8552
5,952.0,1339.0,54.0,58.0,0.9463220675944334,0.9425742574257425,0.9444444444444443,0.953391593841032,1.603296446800232,0.8603
6,970.0,1272.0,42.0,40.0,0.958498023715415,0.9603960396039604,0.9594460929772503,0.9647160068846816,1.5944089889526367,0.8688
7,972.0,1246.0,38.0,38.0,0.9623762376237623,0.9623762376237623,0.9623762376237623,0.966870095902354,1.5914408326148988,0.8716
8,983.0,1237.0,48.0,27.0,0.953443258971872,0.9732673267326732,0.9632533072023518,0.9673202614379085,1.589400327205658,0.8736
9,982.0,1214.0,51.0,28.0,0.9506292352371732,0.9722772277227723,0.9613313754282916,0.9652747252747252,1.5864851832389832,0.8758
10,973.0,1226.0,33.0,37.0,0.967196819085487,0.9633663366336633,0.9652777777777778,0.9691494050242397,1.5882307410240173,0.8737
11,971.0,1204.0,24.0,39.0,0.9758793969849247,0.9613861386138614,0.9685785536159601,0.9718498659517426,1.5865526914596557,0.8757
12,987.0,1196.0,46.0,23.0,0.9554695062923524,0.9772277227722772,0.9662261380323054,0.9693605683836589,1.584054172039032,0.8781
13,994.0,1196.0,62.0,16.0,0.9412878787878788,0.9841584158415841,0.962245885769603,0.9656084656084656,1.5833503007888794,0.8788
14,986.0,1164.0,37.0,24.0,0.9638318670576735,0.9762376237623762,0.9699950811608461,0.9724106739032112,1.581342339515686,0.8812
15,963.0,1175.0,12.0,47.0,0.9876923076923076,0.9534653465346534,0.9702770780856423,0.973145197997269,1.584158992767334,0.8778
16,992.0,1141.0,51.0,18.0,0.9511025886864813,0.9821782178217822,0.9663906478324403,0.9686648501362398,1.5787841796875,0.8841
17,996.0,1165.0,50.0,14.0,0.9521988527724665,0.9861386138613861,0.9688715953307393,0.9712359550561798,1.5792035102844237,0.8821
18,997.0,1150.0,48.0,13.0,0.9540669856459331,0.9871287128712871,0.9703163017031631,0.9723731884057971,1.578400444984436,0.8837
19,995.0,1151.0,58.0,15.0,0.9449192782526116,0.9851485148514851,0.9646146388754241,0.9671022983325822,1.5789449572563172,0.8834
20,993.0,1178.0,59.0,17.0,0.9439163498098859,0.9831683168316832,0.9631425800193987,0.9661771250556297,1.5813805699348449,0.8805
