epoch,TP,TN,FP,FN,precision,recall,f1_score,accuracy,average_loss,overall_accuracy
0,0.0,8195.0,0.0,1028.0,,,,0.8885395207633091,2.3022096157073975,0.0777
1,951.0,4201.0,2373.0,77.0,0.286101083032491,0.9250972762645915,0.4370404411764706,0.6777163904235728,1.889721941947937,0.5722
2,935.0,1613.0,65.0,93.0,0.935,0.9095330739299611,0.9220907297830376,0.9416112342941612,1.6398285508155823,0.8294
3,974.0,1556.0,117.0,54.0,0.8927589367552704,0.9474708171206225,0.9193015573383672,0.9366901147723066,1.6257744550704956,0.839
4,967.0,1387.0,50.0,61.0,0.9508357915437562,0.9406614785992218,0.945721271393643,0.9549695740365112,1.608391559123993,0.8552
5,974.0,1343.0,51.0,54.0,0.9502439024390243,0.9474708171206225,0.9488553336580613,0.9566473988439307,1.603296446800232,0.8603
6,981.0,1265.0,42.0,47.0,0.9589442815249267,0.9542801556420234,0.9566065333983422,0.9618843683083512,1.5944089889526367,0.8688
7,983.0,1239.0,35.0,45.0,0.9656188605108055,0.9562256809338522,0.9608993157380255,0.9652476107732406,1.5914408326148988,0.8716
8,991.0,1227.0,34.0,37.0,0.9668292682926829,0.9640077821011673,0.9654164637116414,0.9689820882481432,1.589400327205658,0.8736
9,996.0,1210.0,37.0,32.0,0.9641819941916747,0.9688715953307393,0.9665211062590975,0.9696703296703296,1.5864851832389832,0.8758
10,993.0,1228.0,42.0,35.0,0.9594202898550724,0.9659533073929961,0.9626757149781872,0.9664926022628373,1.5882307410240173,0.8737
11,988.0,1203.0,31.0,40.0,0.9695780176643768,0.9610894941634242,0.9653150952613581,0.9686118479221928,1.5865526914596557,0.8757
12,992.0,1183.0,29.0,36.0,0.9715964740450539,0.9649805447470817,0.9682772083943386,0.9709821428571429,1.584054172039032,0.8781
13,987.0,1171.0,28.0,41.0,0.9724137931034482,0.9601167315175098,0.9662261380323054,0.9690166142792995,1.5833503007888794,0.8788
14,1005.0,1165.0,37.0,23.0,0.9644913627639156,0.9776264591439688,0.9710144927536232,0.9730941704035875,1.581342339515686,0.8812
15,980.0,1174.0,18.0,48.0,0.9819639278557114,0.953307392996109,0.9674234945705824,0.9702702702702702,1.584158992767334,0.8778
16,1006.0,1137.0,34.0,22.0,0.9673076923076923,0.9785992217898832,0.9729206963249516,0.9745338790359254,1.5787841796875,0.8841
17,997.0,1148.0,30.0,31.0,0.9707887049659202,0.9698443579766537,0.9703163017031631,0.972348141432457,1.5792035102844237,0.8821
18,1000.0,1135.0,27.0,28.0,0.9737098344693281,0.9727626459143969,0.97323600973236,0.9748858447488584,1.578400444984436,0.8837
19,1013.0,1151.0,47.0,15.0,0.9556603773584905,0.9854085603112841,0.9703065134099615,0.97214734950584,1.5789449572563172,0.8834
20,998.0,1165.0,27.0,30.0,0.9736585365853658,0.9708171206225681,0.9722357525572332,0.9743243243243244,1.5813805699348449,0.8805
