epoch,TP,TN,FP,FN,precision,recall,f1_score,accuracy,average_loss,overall_accuracy
0,1.0,8242.0,10.0,981.0,0.09090909090909091,0.0010183299389002036,0.0020140986908358505,0.8926792289365388,2.3022096157073975,0.0777
1,0.0,3296.0,0.0,982.0,,,,0.7704534829359514,1.889721941947937,0.5722
2,909.0,1633.0,120.0,73.0,0.8833819241982507,0.9256619144602851,0.9040278468423669,0.9294332723948812,1.6398285508155823,0.8294
3,891.0,1519.0,60.0,91.0,0.9369085173501577,0.9073319755600815,0.9218830832902224,0.9410386567746973,1.6257744550704956,0.839
4,925.0,1391.0,80.0,57.0,0.9203980099502488,0.9419551934826884,0.9310518369401107,0.9441500203832043,1.608391559123993,0.8552
5,937.0,1352.0,74.0,45.0,0.9268051434223541,0.9541751527494908,0.9402910185649773,0.9505813953488372,1.603296446800232,0.8603
6,932.0,1262.0,45.0,50.0,0.9539406345957011,0.9490835030549898,0.9515058703420112,0.9584971603320227,1.5944089889526367,0.8688
7,944.0,1246.0,50.0,38.0,0.9496981891348089,0.9613034623217923,0.9554655870445343,0.961369622475856,1.5914408326148988,0.8716
8,935.0,1217.0,36.0,47.0,0.9629248197734295,0.9521384928716904,0.9575012800819251,0.9628635346756153,1.589400327205658,0.8736
9,944.0,1204.0,37.0,38.0,0.9622833843017329,0.9613034623217923,0.9617931737137034,0.9662618083670715,1.5864851832389832,0.8758
10,954.0,1235.0,35.0,28.0,0.9646107178968655,0.9714867617107943,0.9680365296803652,0.9720248667850799,1.5882307410240173,0.8737
11,957.0,1218.0,39.0,25.0,0.9608433734939759,0.9745417515274949,0.9676440849342771,0.9714158106297455,1.5865526914596557,0.8757
12,950.0,1187.0,36.0,32.0,0.9634888438133874,0.9674134419551935,0.9654471544715447,0.9691609977324263,1.584054172039032,0.8781
13,943.0,1173.0,27.0,39.0,0.9721649484536082,0.960285132382892,0.9661885245901638,0.9697525206232814,1.5833503007888794,0.8788
14,965.0,1171.0,45.0,17.0,0.9554455445544554,0.9826883910386965,0.9688755020080322,0.9717925386715196,1.581342339515686,0.8812
15,951.0,1191.0,27.0,31.0,0.9723926380368099,0.9684317718940937,0.9704081632653061,0.9736363636363636,1.584158992767334,0.8778
16,960.0,1137.0,26.0,22.0,0.973630831643002,0.9775967413441955,0.975609756097561,0.9776223776223776,1.5787841796875,0.8841
17,958.0,1155.0,24.0,24.0,0.9755600814663951,0.9755600814663951,0.9755600814663951,0.977788061082832,1.5792035102844237,0.8821
18,954.0,1135.0,27.0,28.0,0.9724770642201835,0.9714867617107943,0.9719816607233825,0.9743470149253731,1.578400444984436,0.8837
19,967.0,1151.0,39.0,15.0,0.9612326043737575,0.984725050916497,0.9728370221327969,0.9751381215469613,1.5789449572563172,0.8834
20,940.0,1153.0,13.0,42.0,0.9863588667366212,0.9572301425661914,0.9715762273901809,0.9743947858472998,1.5813805699348449,0.8805
