epoch,TP,TN,FP,FN,precision,recall,f1_score,accuracy,average_loss,overall_accuracy
0,0.0,8191.0,83.0,1032.0,,,,0.8801848269933377,2.3022096157073975,0.0777
1,900.0,4146.0,318.0,132.0,0.7389162561576355,0.872093023255814,0.8,0.9181222707423581,1.889721941947937,0.5722
2,924.0,1598.0,86.0,108.0,0.9148514851485149,0.8953488372093024,0.9049951028403526,0.9285714285714286,1.6398285508155823,0.8294
3,939.0,1517.0,76.0,93.0,0.9251231527093596,0.9098837209302325,0.9174401563263312,0.9356190476190476,1.6257744550704956,0.839
4,970.0,1386.0,77.0,62.0,0.9264565425023877,0.939922480620155,0.933140933140933,0.9442885771543086,1.608391559123993,0.8552
5,976.0,1341.0,49.0,56.0,0.9521951219512195,0.9457364341085271,0.9489547885269811,0.9566473988439307,1.603296446800232,0.8603
6,988.0,1268.0,47.0,44.0,0.9545893719806763,0.9573643410852714,0.9559748427672955,0.9612270984235194,1.5944089889526367,0.8688
7,990.0,1242.0,41.0,42.0,0.9602327837051406,0.9593023255813954,0.9597673291323315,0.96414686825054,1.5914408326148988,0.8716
8,997.0,1229.0,54.0,35.0,0.9486203615604186,0.9660852713178295,0.957273163706193,0.9615550755939525,1.589400327205658,0.8736
9,992.0,1202.0,35.0,40.0,0.9659201557935735,0.9612403100775194,0.9635745507527925,0.9669457910973998,1.5864851832389832,0.8758
10,973.0,1204.0,17.0,59.0,0.9828282828282828,0.9428294573643411,0.9624134520276955,0.9662671992898357,1.5882307410240173,0.8737
11,982.0,1193.0,12.0,50.0,0.9879275653923542,0.9515503875968992,0.9693978282329714,0.9722843093428699,1.5865526914596557,0.8757
12,996.0,1183.0,32.0,36.0,0.9688715953307393,0.9651162790697675,0.9669902912621359,0.969737427681353,1.584054172039032,0.8781
13,1002.0,1182.0,29.0,30.0,0.9718719689621726,0.9709302325581395,0.9714008725157537,0.9736959429335711,1.5833503007888794,0.8788
14,1006.0,1162.0,26.0,26.0,0.9748062015503876,0.9748062015503876,0.9748062015503876,0.9765765765765766,1.581342339515686,0.8812
15,1005.0,1195.0,34.0,27.0,0.9672762271414822,0.9738372093023255,0.9705456301303718,0.9730207872622734,1.584158992767334,0.8778
16,1007.0,1134.0,33.0,25.0,0.9682692307692308,0.9757751937984496,0.972007722007722,0.9736243747157799,1.5787841796875,0.8841
17,1004.0,1151.0,37.0,28.0,0.9644572526416907,0.9728682170542635,0.9686444766039556,0.9707207207207207,1.5792035102844237,0.8821
18,1007.0,1138.0,24.0,25.0,0.976721629485936,0.9757751937984496,0.9762481822588462,0.9776663628076573,1.578400444984436,0.8837
19,1004.0,1138.0,18.0,28.0,0.9823874755381604,0.9728682170542635,0.9776046738072054,0.9789762340036563,1.5789449572563172,0.8834
20,1014.0,1177.0,58.0,18.0,0.9458955223880597,0.9825581395348837,0.9638783269961978,0.9664755183061314,1.5813805699348449,0.8805
