epoch,TP,TN,FP,FN,precision,recall,f1_score,accuracy,average_loss,overall_accuracy
0,9.0,7640.0,28.0,965.0,0.24324324324324326,0.009240246406570842,0.017804154302670624,0.8850960425827354,2.302255725860596,0.1395
1,814.0,1623.0,408.0,160.0,0.6661211129296236,0.8357289527720739,0.7413479052823315,0.810981697171381,1.6606111407279969,0.8217
2,866.0,1457.0,373.0,108.0,0.6989507667473769,0.8891170431211499,0.7826479891549932,0.8284593437945792,1.6243985533714294,0.8435
3,877.0,1364.0,330.0,97.0,0.7265948632974316,0.9004106776180698,0.8042182485098579,0.8399550224887556,1.6132050156593323,0.8539
4,882.0,1329.0,309.0,92.0,0.7405541561712846,0.9055441478439425,0.8147806004618938,0.8464777947932619,1.6082342267036438,0.8579
5,883.0,1309.0,289.0,91.0,0.7534129692832765,0.9065708418891171,0.8229263746505125,0.8522550544323484,1.6045885682106018,0.86
6,864.0,688.0,110.0,110.0,0.8870636550308009,0.8870636550308009,0.8870636550308009,0.8758465011286681,1.547960114479065,0.9202
7,874.0,585.0,84.0,100.0,0.9123173277661796,0.8973305954825462,0.9047619047619048,0.8880097382836275,1.5348443031311034,0.9315
8,863.0,512.0,54.0,111.0,0.9411123227917121,0.8860369609856262,0.9127445795875198,0.8928571428571429,1.5282827377319337,0.9377
9,861.0,450.0,44.0,113.0,0.9513812154696133,0.8839835728952772,0.9164449175093135,0.8930517711171662,1.5215716242790223,0.9437
10,869.0,397.0,31.0,105.0,0.9655555555555555,0.8921971252566735,0.927427961579509,0.9029957203994294,1.5162480831146241,0.9498
11,870.0,370.0,26.0,104.0,0.9709821428571429,0.893223819301848,0.93048128342246,0.9051094890510949,1.5135989427566527,0.9526
12,876.0,353.0,23.0,98.0,0.9744160177975528,0.8993839835728953,0.9353977576081153,0.9103703703703704,1.5111607670783997,0.9549
13,878.0,348.0,20.0,96.0,0.977728285077951,0.9014373716632443,0.938034188034188,0.9135618479880775,1.5093366742134093,0.9556
14,883.0,341.0,21.0,91.0,0.9767699115044248,0.9065708418891171,0.9403620873269436,0.9161676646706587,1.507423996925354,0.9568
15,892.0,323.0,23.0,82.0,0.9748633879781421,0.9158110882956879,0.9444150344097406,0.9204545454545454,1.5049533247947693,0.9595
16,900.0,319.0,25.0,74.0,0.972972972972973,0.9240246406570842,0.9478672985781991,0.924886191198786,1.5027132868766784,0.9607
17,912.0,307.0,23.0,62.0,0.9754010695187165,0.9363449691991786,0.9554740701938187,0.9348159509202454,1.5007978439331056,0.9631
18,912.0,290.0,21.0,62.0,0.977491961414791,0.9363449691991786,0.9564761405348715,0.935408560311284,1.499471867084503,0.9648
19,908.0,281.0,21.0,66.0,0.9773950484391819,0.9322381930184805,0.954282711508145,0.9318181818181818,1.4985414028167725,0.9653
20,905.0,280.0,21.0,69.0,0.9773218142548596,0.9291581108829569,0.9526315789473684,0.9294117647058824,1.4982447266578673,0.9651
