epoch,TP,TN,FP,FN,precision,recall,f1_score,accuracy,average_loss,overall_accuracy
0,0.0,7713.0,0.0,892.0,,,,0.8963393375944219,2.302255725860596,0.1395
1,0.0,891.0,0.0,892.0,,,,0.4997195737521032,1.6606111407279969,0.8217
2,0.0,673.0,0.0,892.0,,,,0.43003194888178914,1.6243985533714294,0.8435
3,0.0,569.0,0.0,892.0,,,,0.3894592744695414,1.6132050156593323,0.8539
4,0.0,529.0,0.0,892.0,,,,0.37227304714989445,1.6082342267036438,0.8579
5,0.0,508.0,0.0,892.0,,,,0.3628571428571429,1.6045885682106018,0.86
6,731.0,637.0,212.0,161.0,0.7751855779427359,0.8195067264573991,0.7967302452316075,0.7857553130384837,1.547960114479065,0.9202
7,794.0,587.0,173.0,98.0,0.8210961737331954,0.8901345291479821,0.8542227003765465,0.835956416464891,1.5348443031311034,0.9315
8,822.0,553.0,163.0,70.0,0.8345177664974619,0.92152466367713,0.8758657432072456,0.8550995024875622,1.5282827377319337,0.9377
9,831.0,502.0,120.0,61.0,0.8738170347003155,0.9316143497757847,0.9017905588714052,0.880449141347424,1.5215716242790223,0.9437
10,832.0,442.0,78.0,60.0,0.9142857142857143,0.9327354260089686,0.9234184239733629,0.9022662889518414,1.5162480831146241,0.9498
11,836.0,418.0,71.0,56.0,0.9217199558985667,0.9372197309417041,0.9294052251250695,0.9080376538740044,1.5135989427566527,0.9526
12,841.0,400.0,63.0,51.0,0.9303097345132744,0.9428251121076233,0.9365256124721604,0.9158671586715867,1.5111607670783997,0.9549
13,841.0,393.0,62.0,51.0,0.9313399778516057,0.9428251121076233,0.9370473537604456,0.9161098737936154,1.5093366742134093,0.9556
14,841.0,381.0,58.0,51.0,0.9354838709677419,0.9428251121076233,0.9391401451702959,0.918106686701728,1.507423996925354,0.9568
15,851.0,364.0,54.0,41.0,0.9403314917127071,0.9540358744394619,0.9471341124095716,0.9274809160305344,1.5049533247947693,0.9595
16,852.0,353.0,47.0,40.0,0.9477196885428254,0.9551569506726457,0.9514237855946398,0.9326625386996904,1.5027132868766784,0.9607
17,851.0,328.0,45.0,41.0,0.9497767857142857,0.9540358744394619,0.9519015659955258,0.9320158102766798,1.5007978439331056,0.9631
18,853.0,313.0,36.0,39.0,0.9595050618672666,0.9562780269058296,0.9578888265019653,0.9395648670427075,1.499471867084503,0.9648
19,853.0,308.0,35.0,39.0,0.9605855855855856,0.9562780269058296,0.958426966292135,0.940080971659919,1.4985414028167725,0.9653
20,852.0,309.0,33.0,40.0,0.9627118644067797,0.9551569506726457,0.9589195272931909,0.9408427876823339,1.4982447266578673,0.9651
