epoch,TP,TN,FP,FN,precision,recall,f1_score,accuracy,average_loss,overall_accuracy
0,0.0,7995.0,37.0,958.0,,,,0.889321468298109,2.302873229980469,0.1047
1,909.0,2524.0,195.0,49.0,0.8233695652173914,0.9488517745302714,0.8816682832201745,0.9336415556159913,1.7334686160087585,0.7427
2,882.0,940.0,78.0,76.0,0.91875,0.9206680584551148,0.9197080291970803,0.9220647773279352,1.5753292560577392,0.8984
3,899.0,820.0,73.0,59.0,0.9248971193415638,0.9384133611691023,0.9316062176165804,0.9286871961102107,1.5566195249557495,0.9121
4,895.0,708.0,61.0,63.0,0.9361924686192469,0.9342379958246346,0.9352142110762801,0.9281991893456861,1.5452124238014222,0.9229
5,902.0,670.0,68.0,56.0,0.9298969072164949,0.941544885177453,0.9356846473029046,0.9268867924528302,1.5380414605140686,0.9274
6,913.0,615.0,79.0,45.0,0.9203629032258065,0.9530271398747391,0.9364102564102564,0.9249394673123487,1.5308356761932373,0.934
7,920.0,549.0,71.0,38.0,0.9283551967709385,0.9603340292275574,0.944073884043099,0.9309252217997465,1.5238525509834289,0.9413
8,925.0,511.0,71.0,33.0,0.928714859437751,0.965553235908142,0.9467758444216992,0.9324675324675324,1.5189058303833007,0.9456
9,925.0,477.0,59.0,33.0,0.9400406504065041,0.965553235908142,0.952626158599382,0.9384203480589023,1.515614914894104,0.949
10,925.0,449.0,57.0,33.0,0.9419551934826884,0.965553235908142,0.9536082474226805,0.9385245901639344,1.5127373814582825,0.9518
11,927.0,422.0,52.0,31.0,0.9468845760980592,0.9676409185803758,0.9571502323180177,0.9420391061452514,1.5097552299499513,0.9547
12,928.0,392.0,47.0,30.0,0.9517948717948718,0.9686847599164927,0.9601655457837559,0.9448818897637795,1.5071222186088562,0.9578
13,927.0,370.0,39.0,31.0,0.9596273291925466,0.9676409185803758,0.9636174636174636,0.9487929773226043,1.505010688304901,0.9599
14,926.0,359.0,34.0,32.0,0.9645833333333333,0.9665970772442589,0.9655891553701773,0.9511472982975574,1.5037551283836366,0.9609
15,925.0,349.0,33.0,33.0,0.965553235908142,0.965553235908142,0.965553235908142,0.9507462686567164,1.502679717540741,0.9618
16,926.0,331.0,29.0,32.0,0.9696335078534032,0.9665970772442589,0.9681129116570832,0.9537177541729894,1.5010524272918702,0.9637
17,922.0,312.0,27.0,36.0,0.9715489989462592,0.9624217118997912,0.9669638175144205,0.9514263685427911,1.4992037415504456,0.9652
18,924.0,298.0,25.0,34.0,0.9736564805057956,0.964509394572025,0.9690613529103304,0.9539422326307572,1.497321116924286,0.9668
19,926.0,285.0,26.0,32.0,0.9726890756302521,0.9665970772442589,0.9696335078534032,0.9542947202521671,1.4956064462661742,0.9683
20,927.0,281.0,25.0,31.0,0.9737394957983193,0.9676409185803758,0.9706806282722513,0.9556962025316456,1.4945645809173584,0.9688
