epoch,TP,TN,FP,FN,precision,recall,f1_score,accuracy,average_loss,overall_accuracy
0,4.0,7975.0,12.0,978.0,0.25,0.004073319755600814,0.008016032064128256,0.8896198015386331,2.302873229980469,0.1047
1,902.0,2493.0,197.0,80.0,0.8207461328480437,0.9185336048879837,0.8668909178279673,0.9245642701525054,1.7334686160087585,0.7427
2,909.0,943.0,125.0,73.0,0.879110251450677,0.9256619144602851,0.9017857142857143,0.9034146341463415,1.5753292560577392,0.8984
3,923.0,820.0,99.0,59.0,0.9031311154598826,0.939918533604888,0.9211576846307385,0.9168858495528669,1.5566195249557495,0.9121
4,913.0,702.0,68.0,69.0,0.9306829765545361,0.929735234215886,0.9302088639836984,0.9218036529680366,1.5452124238014222,0.9229
5,903.0,647.0,59.0,79.0,0.9386694386694386,0.9195519348268839,0.9290123456790123,0.9182464454976303,1.5380414605140686,0.9274
6,910.0,588.0,51.0,72.0,0.9469302809573361,0.9266802443991853,0.9366958311888832,0.9241209130166563,1.5308356761932373,0.934
7,920.0,525.0,55.0,62.0,0.9435897435897436,0.9368635437881874,0.9402146142054164,0.9250960307298336,1.5238525509834289,0.9413
8,922.0,484.0,49.0,60.0,0.9495365602471678,0.9389002036659878,0.9441884280593958,0.928052805280528,1.5189058303833007,0.9456
9,919.0,447.0,47.0,63.0,0.9513457556935818,0.9358452138492872,0.9435318275154004,0.9254742547425474,1.515614914894104,0.949
10,921.0,421.0,45.0,61.0,0.953416149068323,0.9378818737270875,0.9455852156057495,0.9267955801104972,1.5127373814582825,0.9518
11,929.0,400.0,49.0,53.0,0.9498977505112475,0.9460285132382892,0.9479591836734694,0.9287211740041929,1.5097552299499513,0.9547
12,930.0,370.0,43.0,52.0,0.9558067831449126,0.9470468431771895,0.9514066496163683,0.931899641577061,1.5071222186088562,0.9578
13,936.0,355.0,40.0,46.0,0.9590163934426229,0.9531568228105907,0.9560776302349335,0.9375453885257807,1.505010688304901,0.9599
14,935.0,344.0,34.0,47.0,0.9649122807017544,0.9521384928716904,0.9584828293182983,0.9404411764705882,1.5037551283836366,0.9609
15,935.0,335.0,31.0,47.0,0.9679089026915114,0.9521384928716904,0.9599589322381931,0.9421364985163204,1.502679717540741,0.9618
16,936.0,317.0,29.0,46.0,0.9699481865284975,0.9531568228105907,0.9614791987673343,0.9435240963855421,1.5010524272918702,0.9637
17,938.0,304.0,27.0,44.0,0.9720207253886011,0.955193482688391,0.9635336414997431,0.945925361766946,1.4992037415504456,0.9652
18,940.0,290.0,26.0,42.0,0.9730848861283644,0.9572301425661914,0.9650924024640657,0.9476117103235747,1.497321116924286,0.9668
19,942.0,277.0,26.0,40.0,0.9731404958677686,0.9592668024439919,0.966153846153846,0.9486381322957198,1.4956064462661742,0.9683
20,944.0,274.0,27.0,38.0,0.972193614830072,0.9613034623217923,0.9667178699436763,0.9493374902572097,1.4945645809173584,0.9688
