epoch,TP,TN,FP,FN,precision,recall,f1_score,accuracy,average_loss,overall_accuracy
0,0.0,7944.0,0.0,1009.0,,,,0.8873003462526527,2.302873229980469,0.1047
1,879.0,2443.0,614.0,130.0,0.5887474882786337,0.8711595639246779,0.7026378896882495,0.8170191834727004,1.7334686160087585,0.7427
2,920.0,927.0,155.0,89.0,0.8558139534883721,0.9117938553022795,0.8829174664107484,0.8833094213295074,1.5753292560577392,0.8984
3,924.0,794.0,108.0,85.0,0.8953488372093024,0.9157581764122894,0.905438510534052,0.8990057561486133,1.5566195249557495,0.9121
4,929.0,691.0,97.0,80.0,0.905458089668616,0.9207135777998018,0.913022113022113,0.9015025041736227,1.5452124238014222,0.9229
5,934.0,651.0,97.0,75.0,0.9059165858389913,0.9256689791873142,0.915686274509804,0.9021058622652248,1.5380414605140686,0.9274
6,934.0,585.0,82.0,75.0,0.9192913385826772,0.9256689791873142,0.9224691358024691,0.9063245823389021,1.5308356761932373,0.934
7,929.0,507.0,68.0,80.0,0.9317953861584755,0.9207135777998018,0.9262213359920239,0.9065656565656566,1.5238525509834289,0.9413
8,936.0,471.0,64.0,73.0,0.936,0.9276511397423192,0.9318068690890992,0.9112694300518135,1.5189058303833007,0.9456
9,937.0,438.0,58.0,72.0,0.9417085427135679,0.9286422200198216,0.935129740518962,0.9136212624584718,1.515614914894104,0.949
10,936.0,409.0,54.0,73.0,0.9454545454545454,0.9276511397423192,0.9364682341170585,0.9137228260869565,1.5127373814582825,0.9518
11,934.0,378.0,44.0,75.0,0.9550102249488752,0.9256689791873142,0.9401107196779063,0.9168413696715584,1.5097552299499513,0.9547
12,939.0,352.0,40.0,70.0,0.9591419816138917,0.9306243805748265,0.9446680080482897,0.9214846538187009,1.5071222186088562,0.9578
13,942.0,334.0,36.0,67.0,0.9631901840490797,0.933597621407334,0.9481630598892804,0.9253081943437274,1.505010688304901,0.9599
14,943.0,325.0,34.0,66.0,0.9651995905834186,0.9345887016848364,0.9496475327291037,0.9269005847953217,1.5037551283836366,0.9609
15,947.0,320.0,32.0,62.0,0.9673135852911133,0.9385530227948464,0.9527162977867203,0.9309331373989713,1.502679717540741,0.9618
16,950.0,304.0,34.0,59.0,0.9654471544715447,0.9415262636273538,0.9533366783743101,0.9309576837416481,1.5010524272918702,0.9637
17,953.0,292.0,36.0,56.0,0.9635995955510617,0.9444995044598612,0.9539539539539539,0.931189229618549,1.4992037415504456,0.9652
18,954.0,277.0,35.0,55.0,0.9646107178968655,0.9454905847373637,0.9549549549549549,0.9318697956093869,1.497321116924286,0.9668
19,953.0,261.0,33.0,56.0,0.9665314401622718,0.9444995044598612,0.9553884711779448,0.9316960859554874,1.4956064462661742,0.9683
20,956.0,259.0,32.0,53.0,0.9676113360323887,0.9474727452923687,0.9574361542313471,0.9346153846153846,1.4945645809173584,0.9688
