epoch,TP,TN,FP,FN,precision,recall,f1_score,accuracy,average_loss,overall_accuracy
0,0.0,7973.0,5.0,980.0,,,,0.8900424201830766,2.302873229980469,0.1047
1,960.0,2553.0,195.0,20.0,0.8311688311688312,0.9795918367346939,0.8992974238875878,0.9423283261802575,1.7334686160087585,0.7427
2,954.0,990.0,77.0,26.0,0.9253152279340446,0.9734693877551021,0.9487817006464445,0.9496824621397166,1.5753292560577392,0.8984
3,961.0,860.0,72.0,19.0,0.9303000968054211,0.9806122448979592,0.9547938400397415,0.9524058577405857,1.5566195249557495,0.9121
4,964.0,755.0,71.0,16.0,0.9314009661835749,0.9836734693877551,0.9568238213399504,0.9518272425249169,1.5452124238014222,0.9229
5,966.0,712.0,66.0,14.0,0.936046511627907,0.9857142857142858,0.9602385685884692,0.9544937428896473,1.5380414605140686,0.9274
6,965.0,645.0,65.0,15.0,0.9368932038834952,0.9846938775510204,0.9601990049751243,0.9526627218934911,1.5308356761932373,0.934
7,965.0,572.0,58.0,15.0,0.9433040078201369,0.9846938775510204,0.963554667998003,0.9546583850931677,1.5238525509834289,0.9413
8,964.0,528.0,55.0,16.0,0.9460255152109912,0.9836734693877551,0.9644822411205604,0.9545745361484325,1.5189058303833007,0.9456
9,965.0,495.0,48.0,15.0,0.9526159921026653,0.9846938775510204,0.9683893627696939,0.958634274458306,1.515614914894104,0.949
10,965.0,467.0,49.0,15.0,0.9516765285996055,0.9846938775510204,0.9679037111334002,0.9572192513368984,1.5127373814582825,0.9518
11,965.0,438.0,46.0,15.0,0.9545004945598418,0.9846938775510204,0.9693621295831241,0.9583333333333334,1.5097552299499513,0.9547
12,965.0,407.0,43.0,15.0,0.9573412698412699,0.9846938775510204,0.9708249496981892,0.9594405594405594,1.5071222186088562,0.9578
13,965.0,386.0,38.0,15.0,0.9621136590229312,0.9846938775510204,0.97327281896117,0.9622507122507122,1.505010688304901,0.9599
14,966.0,377.0,39.0,14.0,0.9611940298507463,0.9857142857142858,0.9732997481108313,0.9620343839541547,1.5037551283836366,0.9609
15,966.0,368.0,38.0,14.0,0.9621513944223108,0.9857142857142858,0.9737903225806452,0.9624819624819625,1.502679717540741,0.9618
16,968.0,351.0,37.0,12.0,0.96318407960199,0.9877551020408163,0.9753148614609571,0.9641812865497076,1.5010524272918702,0.9637
17,968.0,336.0,39.0,12.0,0.9612711022840119,0.9877551020408163,0.9743331655762457,0.9623616236162361,1.4992037415504456,0.9652
18,969.0,321.0,35.0,11.0,0.9651394422310757,0.9887755102040816,0.9768145161290323,0.9655688622754491,1.497321116924286,0.9668
19,968.0,305.0,31.0,12.0,0.968968968968969,0.9877551020408163,0.9782718544719555,0.9673252279635258,1.4956064462661742,0.9683
20,968.0,300.0,29.0,12.0,0.970912738214644,0.9877551020408163,0.9792615073343449,0.9686783804430863,1.4945645809173584,0.9688
