epoch,TP,TN,FP,FN,precision,recall,f1_score,accuracy,average_loss,overall_accuracy
0,0.0,8231.0,1.0,974.0,,,,0.894090810341082,2.3027910470962523,0.0795
1,763.0,2466.0,610.0,211.0,0.5557174071376547,0.7833675564681725,0.6501917341286748,0.797283950617284,1.7523327589035034,0.7323
2,835.0,897.0,161.0,139.0,0.8383534136546185,0.8572895277207392,0.8477157360406092,0.8523622047244095,1.5799344778060913,0.8964
3,862.0,744.0,126.0,112.0,0.8724696356275303,0.8850102669404517,0.8786952089704383,0.8709327548806941,1.553576123714447,0.9144
4,903.0,649.0,126.0,71.0,0.8775510204081632,0.9271047227926078,0.9016475287069396,0.8873642081189251,1.5409861087799073,0.928
5,926.0,648.0,178.0,48.0,0.8387681159420289,0.9507186858316222,0.8912415784408084,0.8744444444444445,1.5357990026474,0.9304
6,881.0,505.0,55.0,93.0,0.9412393162393162,0.9045174537987679,0.9225130890052355,0.9035202086049544,1.527139127254486,0.9402
7,893.0,493.0,66.0,81.0,0.9311783107403545,0.9168377823408624,0.9239524055871702,0.9041095890410958,1.5226776003837585,0.9426
8,901.0,461.0,62.0,73.0,0.9356178608515057,0.9250513347022588,0.9303045947341249,0.9098196392785571,1.5180044531822205,0.9466
9,918.0,434.0,70.0,56.0,0.9291497975708503,0.9425051334702259,0.9357798165137615,0.9147496617050067,1.513584053516388,0.951
10,915.0,394.0,53.0,59.0,0.9452479338842975,0.9394250513347022,0.9423274974253346,0.9211822660098522,1.5093934893608094,0.9547
11,935.0,410.0,84.0,39.0,0.9175662414131501,0.9599589322381931,0.9382839939789263,0.9162125340599455,1.509242796897888,0.9551
12,939.0,389.0,71.0,35.0,0.9297029702970298,0.9640657084188912,0.9465725806451613,0.9260808926080892,1.506362998485565,0.9576
13,937.0,347.0,67.0,37.0,0.9332669322709163,0.9620123203285421,0.9474216380182002,0.9250720461095101,1.5032819151878356,0.9616
14,931.0,323.0,48.0,43.0,0.95097037793667,0.9558521560574949,0.953405017921147,0.9323420074349442,1.499904453754425,0.9634
15,941.0,323.0,56.0,33.0,0.9438314944834504,0.9661190965092402,0.9548452562151193,0.934220251293422,1.4988312005996705,0.9644
16,932.0,297.0,44.0,42.0,0.9549180327868853,0.9568788501026694,0.9558974358974358,0.9346007604562737,1.4984957098960876,0.9661
17,935.0,288.0,46.0,39.0,0.9531090723751274,0.9599589322381931,0.9565217391304348,0.9350152905198776,1.4954294562339783,0.9673
18,942.0,286.0,44.0,32.0,0.9553752535496958,0.9671457905544147,0.9612244897959183,0.941717791411043,1.4949475407600403,0.9682
19,944.0,279.0,53.0,30.0,0.9468405215646941,0.9691991786447639,0.9578893962455607,0.9364471669218989,1.493462908267975,0.9691
20,944.0,272.0,48.0,30.0,0.9516129032258065,0.9691991786447639,0.9603255340793488,0.9397217928902627,1.4933165907859802,0.9698
