epoch,TP,TN,FP,FN,precision,recall,f1_score,accuracy,average_loss,overall_accuracy
0,0.0,8313.0,0.0,892.0,,,,0.903096143400326,2.3027910470962523,0.0795
1,0.0,1785.0,0.0,892.0,,,,0.6667911841613747,1.7523327589035034,0.7323
2,712.0,856.0,208.0,180.0,0.7739130434782608,0.7982062780269058,0.7858719646799116,0.8016359918200409,1.5799344778060913,0.8964
3,728.0,692.0,84.0,164.0,0.896551724137931,0.8161434977578476,0.8544600938967135,0.8513189448441247,1.553576123714447,0.9144
4,768.0,596.0,79.0,124.0,0.9067296340023613,0.8609865470852018,0.8832662449683726,0.8704530950861519,1.5409861087799073,0.928
5,781.0,585.0,65.0,111.0,0.9231678486997635,0.875560538116592,0.8987341772151899,0.8858625162127107,1.5357990026474,0.9304
6,802.0,508.0,72.0,90.0,0.9176201372997712,0.899103139013453,0.9082672706681767,0.8899456521739131,1.527139127254486,0.9402
7,838.0,520.0,99.0,54.0,0.8943436499466382,0.9394618834080718,0.9163477310005467,0.898742554599603,1.5226776003837585,0.9426
8,844.0,486.0,83.0,48.0,0.9104638619201726,0.9461883408071748,0.9279824079164376,0.9103353867214237,1.5180044531822205,0.9466
9,840.0,438.0,59.0,52.0,0.9343715239154616,0.9417040358744395,0.9380234505862647,0.9200863930885529,1.513584053516388,0.951
10,826.0,387.0,31.0,66.0,0.9638273045507585,0.9260089686098655,0.9445397369925672,0.9259541984732824,1.5093934893608094,0.9547
11,838.0,395.0,26.0,54.0,0.9699074074074074,0.9394618834080718,0.9544419134396356,0.9390708301599391,1.509242796897888,0.9551
12,833.0,365.0,26.0,59.0,0.969732246798603,0.9338565022421524,0.9514563106796117,0.9337490257209665,1.506362998485565,0.9576
13,841.0,333.0,23.0,51.0,0.9733796296296297,0.9428251121076233,0.9578587699316629,0.9407051282051282,1.5032819151878356,0.9616
14,845.0,319.0,23.0,47.0,0.9735023041474654,0.9473094170403588,0.9602272727272727,0.9432739059967585,1.499904453754425,0.9634
15,853.0,317.0,33.0,39.0,0.9627539503386005,0.9562780269058296,0.9595050618672665,0.9420289855072463,1.4988312005996705,0.9644
16,841.0,288.0,17.0,51.0,0.9801864801864801,0.9428251121076233,0.9611428571428572,0.9431913116123642,1.4984957098960876,0.9661
17,862.0,297.0,34.0,30.0,0.9620535714285714,0.9663677130044843,0.9642058165548099,0.9476696647587899,1.4954294562339783,0.9673
18,845.0,271.0,17.0,47.0,0.9802784222737819,0.9473094170403588,0.9635119726339795,0.9457627118644067,1.4949475407600403,0.9682
19,858.0,275.0,22.0,34.0,0.975,0.9618834080717489,0.9683972911963883,0.9529015979814971,1.493462908267975,0.9691
20,861.0,271.0,21.0,31.0,0.9761904761904762,0.9652466367713004,0.9706877113866967,0.956081081081081,1.4933165907859802,0.9698
