epoch,TP,TN,FP,FN,precision,recall,f1_score,accuracy,average_loss,overall_accuracy
0,491.0,8687.0,4050.0,518.0,0.10812596344417529,0.48662041625371655,0.17693693693693693,0.6676851447693875,2.3027910470962523,0.0795
1,921.0,2589.0,1012.0,88.0,0.47646145887221936,0.9127849355797819,0.6261046906866078,0.7613882863340564,1.7523327589035034,0.7323
2,904.0,931.0,160.0,105.0,0.849624060150376,0.8959365708622399,0.8721659430776653,0.8738095238095238,1.5799344778060913,0.8964
3,888.0,735.0,82.0,121.0,0.9154639175257732,0.8800792864222002,0.8974229408792318,0.8888280394304491,1.553576123714447,0.9144
4,889.0,600.0,56.0,120.0,0.9407407407407408,0.8810703666997026,0.9099283520982598,0.8942942942942943,1.5409861087799073,0.928
5,936.0,623.0,98.0,73.0,0.9052224371373307,0.9276511397423192,0.9162995594713655,0.9011560693641618,1.5357990026474,0.9304
6,922.0,511.0,48.0,87.0,0.9505154639175257,0.9137760158572844,0.9317837291561394,0.9139030612244898,1.527139127254486,0.9402
7,910.0,475.0,42.0,99.0,0.9558823529411765,0.9018830525272548,0.9280979092299847,0.9076015727391874,1.5226776003837585,0.9426
8,934.0,459.0,57.0,75.0,0.9424823410696267,0.9256689791873142,0.934,0.9134426229508197,1.5180044531822205,0.9466
9,937.0,418.0,53.0,72.0,0.9464646464646465,0.9286422200198216,0.9374687343671837,0.9155405405405406,1.513584053516388,0.951
10,935.0,379.0,36.0,74.0,0.9629248197734295,0.9266600594648167,0.9444444444444444,0.922752808988764,1.5093934893608094,0.9547
11,953.0,393.0,77.0,56.0,0.925242718446602,0.9444995044598612,0.9347719470328593,0.9100743745774171,1.509242796897888,0.9551
12,957.0,372.0,73.0,52.0,0.929126213592233,0.9484638255698712,0.9386954389406572,0.9140302613480055,1.506362998485565,0.9576
13,948.0,323.0,43.0,61.0,0.9566094853683148,0.9395441030723488,0.948,0.9243636363636364,1.5032819151878356,0.9616
14,945.0,302.0,38.0,64.0,0.9613428280773143,0.9365708622398414,0.9487951807228915,0.9243884358784284,1.499904453754425,0.9634
15,947.0,294.0,35.0,62.0,0.9643584521384929,0.9385530227948464,0.9512807634354596,0.9275037369207773,1.4988312005996705,0.9644
16,944.0,274.0,22.0,65.0,0.9772256728778468,0.9355797819623389,0.9559493670886076,0.9333333333333333,1.4984957098960876,0.9661
17,952.0,270.0,36.0,57.0,0.9635627530364372,0.9435084241823588,0.9534301452178268,0.929277566539924,1.4954294562339783,0.9673
18,959.0,268.0,39.0,50.0,0.9609218436873748,0.9504459861248761,0.955655206776283,0.932370820668693,1.4949475407600403,0.9682
19,941.0,241.0,17.0,68.0,0.9822546972860126,0.9326065411298315,0.9567869852567362,0.9329123914759274,1.493462908267975,0.9691
20,964.0,257.0,44.0,45.0,0.9563492063492064,0.9554013875123885,0.9558750619732276,0.9320610687022901,1.4933165907859802,0.9698
