epoch,TP,TN,FP,FN,precision,recall,f1_score,accuracy,average_loss,overall_accuracy
0,302.0,8527.0,5018.0,678.0,0.056766917293233084,0.3081632653061224,0.09587301587301587,0.6078485370051635,2.3027910470962523,0.0795
1,957.0,2654.0,173.0,23.0,0.8469026548672567,0.976530612244898,0.9071090047393365,0.9485158917783031,1.7523327589035034,0.7323
2,948.0,1004.0,49.0,32.0,0.950852557673019,0.9673469387755103,0.9590288315629741,0.9601574028529267,1.5799344778060913,0.8964
3,959.0,835.0,89.0,21.0,0.9150763358778626,0.9785714285714285,0.945759368836292,0.9422268907563025,1.553576123714447,0.9144
4,950.0,690.0,44.0,30.0,0.9557344064386318,0.9693877551020408,0.9625126646403241,0.9568261376896149,1.5409861087799073,0.928
5,961.0,677.0,57.0,19.0,0.944007858546169,0.9806122448979592,0.961961961961962,0.9556592765460911,1.5357990026474,0.9304
6,962.0,580.0,49.0,18.0,0.9515331355093967,0.9816326530612245,0.9663485685585134,0.9583592293349906,1.527139127254486,0.9402
7,952.0,546.0,33.0,28.0,0.966497461928934,0.9714285714285714,0.9689567430025445,0.9608723540731238,1.5226776003837585,0.9426
8,963.0,517.0,43.0,17.0,0.9572564612326043,0.9826530612244898,0.9697885196374622,0.961038961038961,1.5180044531822205,0.9466
9,960.0,470.0,40.0,20.0,0.96,0.9795918367346939,0.9696969696969697,0.959731543624161,1.513584053516388,0.951
10,964.0,437.0,40.0,16.0,0.9601593625498008,0.9836734693877551,0.9717741935483872,0.9615648592999314,1.5093934893608094,0.9547
11,963.0,432.0,37.0,17.0,0.963,0.9826530612244898,0.9727272727272727,0.9627329192546584,1.509242796897888,0.9551
12,963.0,407.0,32.0,17.0,0.9678391959798995,0.9826530612244898,0.9751898734177215,0.9654686398872445,1.506362998485565,0.9576
13,955.0,359.0,22.0,25.0,0.977482088024565,0.9744897959183674,0.975983648441492,0.9654665686994857,1.5032819151878356,0.9616
14,962.0,348.0,25.0,18.0,0.9746707193515705,0.9816326530612245,0.9781392984239959,0.9682187730968219,1.499904453754425,0.9634
15,962.0,338.0,26.0,18.0,0.9736842105263158,0.9816326530612245,0.9776422764227641,0.9672619047619048,1.4988312005996705,0.9644
16,965.0,324.0,28.0,15.0,0.9718026183282981,0.9846938775510204,0.978205778003041,0.9677177177177178,1.4984957098960876,0.9661
17,964.0,311.0,31.0,16.0,0.9688442211055276,0.9836734693877551,0.9762025316455695,0.9644478063540091,1.4954294562339783,0.9673
18,965.0,303.0,24.0,15.0,0.9757330637007078,0.9846938775510204,0.9801929913661758,0.9701606732976281,1.4949475407600403,0.9682
19,968.0,297.0,29.0,12.0,0.970912738214644,0.9877551020408163,0.9792615073343449,0.9686064318529862,1.493462908267975,0.9691
20,964.0,286.0,24.0,16.0,0.9757085020242915,0.9836734693877551,0.9796747967479675,0.9689922480620154,1.4933165907859802,0.9698
