epoch,TP,TN,FP,FN,precision,recall,f1_score,accuracy,average_loss,overall_accuracy
0,2.0,8249.0,84.0,956.0,0.023255813953488372,0.0020876826722338203,0.0038314176245210726,0.888063717576149,2.3027910470962523,0.0795
1,915.0,2634.0,302.0,43.0,0.751848808545604,0.9551148225469729,0.8413793103448276,0.911402157164869,1.7523327589035034,0.7323
2,902.0,980.0,109.0,56.0,0.8921859545004945,0.941544885177453,0.9162011173184357,0.9193942354665364,1.5799344778060913,0.8964
3,912.0,810.0,104.0,46.0,0.8976377952755905,0.9519832985386222,0.9240121580547113,0.9198717948717948,1.553576123714447,0.9144
4,917.0,679.0,94.0,41.0,0.9070227497527201,0.9572025052192067,0.9314372778059928,0.9220103986135182,1.5409861087799073,0.928
5,896.0,634.0,54.0,62.0,0.9431578947368421,0.9352818371607515,0.9392033542976939,0.9295261239368166,1.5357990026474,0.9304
6,908.0,548.0,57.0,50.0,0.9409326424870467,0.9478079331941545,0.9443577743109723,0.9315419065898912,1.527139127254486,0.9402
7,922.0,538.0,63.0,36.0,0.9360406091370559,0.9624217118997912,0.9490478641276376,0.9364977549711353,1.5226776003837585,0.9426
8,924.0,500.0,69.0,34.0,0.9305135951661632,0.964509394572025,0.947206560738083,0.9325474787164375,1.5180044531822205,0.9466
9,920.0,452.0,48.0,38.0,0.9504132231404959,0.9603340292275574,0.9553478712357216,0.9410150891632373,1.513584053516388,0.951
10,923.0,418.0,45.0,35.0,0.9535123966942148,0.9634655532359081,0.9584631360332295,0.9437016185784659,1.5093934893608094,0.9547
11,924.0,415.0,43.0,34.0,0.9555325749741469,0.964509394572025,0.96,0.9456214689265536,1.509242796897888,0.9551
12,913.0,379.0,32.0,45.0,0.9661375661375662,0.9530271398747391,0.9595375722543353,0.943754565376187,1.506362998485565,0.9576
13,938.0,364.0,63.0,20.0,0.9370629370629371,0.9791231732776617,0.9576314446145993,0.940072202166065,1.5032819151878356,0.9616
14,933.0,341.0,41.0,25.0,0.9579055441478439,0.9739039665970772,0.9658385093167702,0.9507462686567164,1.499904453754425,0.9634
15,929.0,327.0,37.0,29.0,0.9616977225672878,0.9697286012526096,0.9656964656964657,0.9500756429652042,1.4988312005996705,0.9644
16,931.0,312.0,28.0,27.0,0.9708029197080292,0.9718162839248434,0.9713093375065206,0.9576271186440678,1.4984957098960876,0.9661
17,935.0,304.0,32.0,23.0,0.9669079627714581,0.975991649269311,0.9714285714285714,0.9574961360123647,1.4954294562339783,0.9673
18,934.0,294.0,36.0,24.0,0.9628865979381444,0.9749478079331941,0.9688796680497925,0.953416149068323,1.4949475407600403,0.9682
19,932.0,283.0,30.0,26.0,0.9688149688149689,0.9728601252609603,0.9708333333333333,0.955940204563336,1.493462908267975,0.9691
20,935.0,279.0,33.0,23.0,0.9659090909090909,0.975991649269311,0.9709241952232606,0.9559055118110236,1.4933165907859802,0.9698
