epoch,TP,TN,FP,FN,precision,recall,f1_score,accuracy,average_loss,overall_accuracy
0,23.0,7657.0,90.0,869.0,0.20353982300884957,0.0257847533632287,0.04577114427860697,0.8889917814561871,2.3019803524017335,0.1474
1,645.0,2249.0,751.0,247.0,0.46203438395415475,0.7230941704035875,0.563811188811189,0.7435765673175745,1.7100303053855896,0.7504
2,574.0,1944.0,196.0,318.0,0.7454545454545455,0.6434977578475336,0.690734055354994,0.8304749340369393,1.6866251826286316,0.7738
3,381.0,2650.0,101.0,511.0,0.7904564315352697,0.42713004484304934,0.5545851528384279,0.832006587976942,1.7769877195358277,0.6839
4,398.0,2162.0,169.0,494.0,0.7019400352733686,0.4461883408071749,0.5455791638108294,0.7942910331988831,1.7263894081115723,0.7344
5,9.0,2457.0,1.0,883.0,0.9,0.010089686098654708,0.019955654101995565,0.7361194029850746,1.7951493859291077,0.666
6,545.0,2667.0,277.0,347.0,0.6630170316301703,0.6109865470852018,0.6359393232205368,0.8373305526590198,1.7624924302101135,0.6986
7,327.0,3087.0,186.0,565.0,0.6374269005847953,0.3665919282511211,0.46548042704626336,0.81968787515006,1.826297640800476,0.6348
8,412.0,2959.0,179.0,480.0,0.6971235194585449,0.4618834080717489,0.5556304787592719,0.8364764267990075,1.8049437761306764,0.6561
9,612.0,2458.0,717.0,280.0,0.4604966139954853,0.6860986547085202,0.5511031067086898,0.7548561593312023,1.734932792186737,0.7262
10,622.0,2861.0,598.0,270.0,0.5098360655737705,0.6973094170403588,0.5890151515151515,0.8005056308894507,1.774295949935913,0.6869
11,433.0,3046.0,254.0,459.0,0.6302765647743813,0.4854260089686099,0.5484483850538315,0.8299141221374046,1.8116377115249633,0.6495
12,607.0,3059.0,612.0,285.0,0.49794913863822804,0.6804932735426009,0.5750828990999526,0.8034188034188035,1.7955233335494996,0.6656
13,293.0,3381.0,44.0,599.0,0.8694362017804155,0.32847533632286996,0.4768104149715216,0.8510539726662034,1.859216821193695,0.602
14,720.0,3516.0,1055.0,172.0,0.4056338028169014,0.8071748878923767,0.5399325084364455,0.7753981328940143,1.8299262285232545,0.6312
15,36.0,3001.0,0.0,856.0,1.0,0.04035874439461883,0.07758620689655173,0.7801181608014385,1.8468256950378419,0.6143
16,701.0,4011.0,1836.0,191.0,0.27631060307449745,0.7858744394618834,0.4088655584718577,0.699213533165158,1.881330132484436,0.5798
17,531.0,3249.0,93.0,361.0,0.8509615384615384,0.5952914798206278,0.7005277044854881,0.8927727916863486,1.8221954464912415,0.639
18,545.0,3413.0,371.0,347.0,0.5949781659388647,0.6109865470852018,0.6028761061946903,0.8464499572284003,1.8371796369552613,0.624
19,301.0,3242.0,20.0,591.0,0.9376947040498442,0.3374439461883408,0.4962901896125309,0.8529128550794415,1.8444077968597412,0.6167
20,294.0,3180.0,23.0,598.0,0.9274447949526814,0.3295964125560538,0.4863523573200993,0.8483516483516483,1.8389852643013,0.6222
