epoch,TP,TN,FP,FN,precision,recall,f1_score,accuracy,average_loss,overall_accuracy
0,327.0,7895.0,3718.0,631.0,0.08084054388133498,0.34133611691022964,0.13072156705976415,0.6540450242621908,2.3019803524017335,0.1474
1,822.0,2360.0,163.0,136.0,0.8345177664974619,0.8580375782881002,0.8461142563046835,0.9141051422005171,1.7100303053855896,0.7504
2,897.0,2201.0,538.0,61.0,0.6250871080139373,0.9363256784968684,0.7496865858754702,0.837976737895591,1.6866251826286316,0.7738
3,850.0,3053.0,268.0,108.0,0.7602862254025045,0.8872651356993737,0.8188824662813102,0.9121290021032952,1.7769877195358277,0.6839
4,829.0,2527.0,236.0,129.0,0.7784037558685446,0.8653444676409185,0.819574888779041,0.9019080892233271,1.7263894081115723,0.7344
5,888.0,3270.0,233.0,70.0,0.792149866190901,0.9269311064718163,0.8542568542568542,0.9320780094149294,1.7951493859291077,0.666
6,927.0,2983.0,713.0,31.0,0.5652439024390243,0.9676409185803758,0.7136258660508082,0.8401375161151697,1.7624924302101135,0.6986
7,790.0,3484.0,132.0,168.0,0.8568329718004338,0.824634655532359,0.8404255319148937,0.9344118933100131,1.826297640800476,0.6348
8,919.0,3400.0,625.0,39.0,0.5952072538860104,0.9592901878914405,0.7346123101518786,0.8667469395946217,1.8049437761306764,0.6561
9,846.0,2626.0,182.0,112.0,0.8229571984435797,0.8830897703549061,0.851963746223565,0.9219330855018587,1.734932792186737,0.7262
10,767.0,2940.0,106.0,191.0,0.8785796105383734,0.8006263048016702,0.837793555434189,0.9258241758241759,1.774295949935913,0.6869
11,741.0,3288.0,107.0,217.0,0.8738207547169812,0.7734864300626305,0.8205980066445183,0.9255685733976567,1.8116377115249633,0.6495
12,875.0,3261.0,501.0,83.0,0.6359011627906976,0.9133611691022965,0.7497857754927164,0.8762711864406779,1.7955233335494996,0.6656
13,526.0,3548.0,39.0,432.0,0.9309734513274336,0.5490605427974948,0.6907419566644781,0.8963696369636963,1.859216821193695,0.602
14,736.0,3466.0,72.0,222.0,0.9108910891089109,0.7682672233820459,0.8335220838052094,0.9346085409252669,1.8299262285232545,0.6312
15,636.0,3535.0,101.0,322.0,0.8629579375848032,0.6638830897703549,0.7504424778761062,0.9079233783195473,1.8468256950378419,0.6143
16,848.0,4092.0,761.0,110.0,0.5270354257302673,0.8851774530271399,0.6606934164394236,0.8501118568232662,1.881330132484436,0.5798
17,514.0,3166.0,108.0,444.0,0.8263665594855305,0.5365344467640919,0.6506329113924051,0.8695652173913043,1.8221954464912415,0.639
18,865.0,3667.0,736.0,93.0,0.5402873204247346,0.9029227557411273,0.6760453302071122,0.8453646707703787,1.8371796369552613,0.624
19,806.0,3681.0,781.0,152.0,0.5078764965343415,0.8413361169102297,0.6333988212180747,0.8278597785977859,1.8444077968597412,0.6167
20,679.0,3499.0,320.0,279.0,0.6796796796796797,0.708768267223382,0.6939192641798672,0.8746074942432489,1.8389852643013,0.6222
