epoch,TP,TN,FP,FN,precision,recall,f1_score,accuracy,average_loss,overall_accuracy
0,5.0,7522.0,271.0,1004.0,0.018115942028985508,0.004955401387512388,0.007782101167315175,0.8551465576005454,2.3019803524017335,0.1474
1,738.0,2225.0,204.0,271.0,0.7834394904458599,0.7314172447968286,0.7565351101998975,0.8618382780686445,1.7100303053855896,0.7504
2,851.0,2104.0,502.0,158.0,0.6289726533628973,0.8434093161546086,0.7205757832345471,0.8174273858921162,1.6866251826286316,0.7738
3,52.0,2204.0,4.0,957.0,0.9285714285714286,0.05153617443012884,0.09765258215962441,0.701274479328567,1.7769877195358277,0.6839
4,648.0,2295.0,196.0,361.0,0.7677725118483413,0.6422200198216056,0.6994063680518079,0.8408571428571429,1.7263894081115723,0.7344
5,0.0,2331.0,0.0,1009.0,,,,0.6979041916167664,1.7951493859291077,0.666
6,0.0,2005.0,0.0,1009.0,,,,0.6652289316522894,1.7624924302101135,0.6986
7,0.0,2643.0,0.0,1009.0,,,,0.7237130339539978,1.826297640800476,0.6348
8,0.0,2430.0,0.0,1009.0,,,,0.7066007560337307,1.8049437761306764,0.6561
9,0.0,1729.0,0.0,1009.0,,,,0.6314828341855369,1.734932792186737,0.7262
10,0.0,2122.0,0.0,1009.0,,,,0.677738741616097,1.774295949935913,0.6869
11,0.0,2496.0,0.0,1009.0,,,,0.7121255349500714,1.8116377115249633,0.6495
12,0.0,2335.0,0.0,1009.0,,,,0.6982655502392344,1.7955233335494996,0.6656
13,0.0,2971.0,0.0,1009.0,,,,0.7464824120603015,1.859216821193695,0.602
14,0.0,2679.0,0.0,1009.0,,,,0.726409978308026,1.8299262285232545,0.6312
15,0.0,2848.0,0.0,1009.0,,,,0.738397718434016,1.8468256950378419,0.6143
16,0.0,3193.0,0.0,1009.0,,,,0.7598762494050452,1.881330132484436,0.5798
17,0.0,2601.0,0.0,1009.0,,,,0.7204986149584488,1.8221954464912415,0.639
18,0.0,2751.0,0.0,1009.0,,,,0.7316489361702128,1.8371796369552613,0.624
19,0.0,2824.0,0.0,1009.0,,,,0.7367597182363684,1.8444077968597412,0.6167
20,0.0,2769.0,0.0,1009.0,,,,0.7329274748544203,1.8389852643013,0.6222
