epoch,TP,TN,FP,FN,precision,recall,f1_score,accuracy,average_loss,overall_accuracy
0,16.0,7698.0,319.0,994.0,0.04776119402985075,0.015841584158415842,0.02379182156133829,0.8545474687049961,2.3022969722747804,0.1308
1,949.0,2115.0,701.0,61.0,0.5751515151515152,0.9396039603960396,0.7135338345864661,0.8008363826450601,1.677387034893036,0.7824
2,953.0,2131.0,633.0,57.0,0.6008827238335435,0.9435643564356435,0.734206471494607,0.8171701112877583,1.6789013743400574,0.7812
3,863.0,1123.0,96.0,147.0,0.899895724713243,0.8544554455445544,0.8765871000507871,0.8909825033647375,1.587458562850952,0.873
4,936.0,1308.0,340.0,74.0,0.7335423197492164,0.9267326732673268,0.8188976377952757,0.8442437923250564,1.5992927312850953,0.8618
5,713.0,1029.0,20.0,297.0,0.9727148703956344,0.7059405940594059,0.8181296615031556,0.8460417678484702,1.5929574489593505,0.8674
6,863.0,1134.0,150.0,147.0,0.8519249753208292,0.8544554455445544,0.8531883341571923,0.8705318221447254,1.5890753388404846,0.8719
7,722.0,1063.0,36.0,288.0,0.9525065963060686,0.7148514851485148,0.8167420814479637,0.8463726884779517,1.5958874106407166,0.8649
8,917.0,1244.0,262.0,93.0,0.7777777777777778,0.907920792079208,0.8378254910918228,0.8589030206677265,1.5946173429489137,0.8663
9,745.0,1247.0,49.0,265.0,0.9382871536523929,0.7376237623762376,0.8259423503325942,0.8638334778837814,1.611895501613617,0.8488
10,764.0,1339.0,96.0,246.0,0.8883720930232558,0.7564356435643564,0.8171122994652407,0.8601226993865031,1.6194698333740234,0.8415
11,678.0,1290.0,56.0,332.0,0.9237057220708447,0.6712871287128713,0.7775229357798167,0.8353140916808149,1.6232002139091493,0.8378
12,874.0,1380.0,248.0,136.0,0.7789661319073083,0.8653465346534653,0.8198874296435272,0.8544351781652767,1.6124974489212036,0.8484
13,696.0,1321.0,47.0,314.0,0.9367429340511441,0.689108910891089,0.7940673131774102,0.8481917577796467,1.6244839429855347,0.8365
14,689.0,1267.0,51.0,321.0,0.9310810810810811,0.6821782178217822,0.7874285714285715,0.8402061855670103,1.619852888584137,0.8412
15,838.0,1383.0,171.0,172.0,0.8305252725470763,0.8297029702970297,0.8301139177810798,0.8662246489859594,1.6164160132408143,0.8445
16,848.0,1226.0,111.0,162.0,0.8842544316996872,0.8396039603960396,0.8613509395632301,0.8836812952705582,1.5997720599174499,0.8612
17,876.0,1218.0,124.0,134.0,0.876,0.8673267326732673,0.871641791044776,0.8903061224489796,1.5962148904800415,0.8648
18,885.0,1357.0,129.0,125.0,0.8727810650887574,0.8762376237623762,0.874505928853755,0.8982371794871795,1.6094232439994811,0.8518
19,893.0,1690.0,187.0,117.0,0.8268518518518518,0.8841584158415842,0.8545454545454545,0.8947003810183581,1.6416523933410645,0.8193
20,951.0,1520.0,499.0,59.0,0.6558620689655172,0.9415841584158415,0.773170731707317,0.8157807857378673,1.6190556764602662,0.8421
