epoch,TP,TN,FP,FN,precision,recall,f1_score,accuracy,average_loss,overall_accuracy
0,16.0,7573.0,39.0,1119.0,0.2909090909090909,0.014096916299559472,0.02689075630252101,0.8676117526008917,2.3022969722747804,0.1308
1,1122.0,2163.0,259.0,13.0,0.8124547429398986,0.9885462555066079,0.8918918918918919,0.9235310655046387,1.677387034893036,0.7824
2,1109.0,2162.0,103.0,26.0,0.915016501650165,0.9770925110132158,0.9450362164465275,0.9620588235294117,1.6789013743400574,0.7812
3,1123.0,1258.0,174.0,12.0,0.8658442559753277,0.9894273127753304,0.9235197368421053,0.9275418776782236,1.587458562850952,0.873
4,1111.0,1358.0,71.0,24.0,0.939932318104907,0.9788546255506608,0.9589987052222702,0.9629485179407177,1.5992927312850953,0.8618
5,1097.0,1288.0,31.0,38.0,0.9725177304964538,0.9665198237885463,0.9695095006628369,0.9718826405867971,1.5929574489593505,0.8674
6,1091.0,1237.0,28.0,44.0,0.9749776586237712,0.9612334801762115,0.9680567879325642,0.97,1.5890753388404846,0.8719
7,1049.0,1265.0,27.0,86.0,0.974907063197026,0.9242290748898678,0.9488919041157847,0.9534404614750721,1.5958874106407166,0.8649
8,1104.0,1306.0,85.0,31.0,0.928511354079058,0.9726872246696036,0.9500860585197936,0.9540775930324624,1.5946173429489137,0.8663
9,1095.0,1472.0,40.0,40.0,0.9647577092511013,0.9647577092511013,0.9647577092511013,0.9697771061579146,1.611895501613617,0.8488
10,1113.0,1563.0,101.0,22.0,0.9168039538714992,0.9806167400881057,0.9476372924648787,0.9560557341907824,1.6194698333740234,0.8415
11,1101.0,1588.0,78.0,34.0,0.9338422391857506,0.9700440528634361,0.9515989628349178,0.9600142806140664,1.6232002139091493,0.8378
12,1088.0,1469.0,46.0,47.0,0.9594356261022927,0.958590308370044,0.9590127809607756,0.9649056603773585,1.6124974489212036,0.8484
13,1093.0,1593.0,42.0,42.0,0.9629955947136564,0.9629955947136564,0.9629955947136564,0.9696750902527076,1.6244839429855347,0.8365
14,1114.0,1567.0,48.0,21.0,0.9586919104991394,0.9814977973568282,0.9699608184588594,0.974909090909091,1.619852888584137,0.8412
15,1106.0,1526.0,75.0,29.0,0.9364944961896697,0.9744493392070485,0.9550949913644214,0.9619883040935673,1.6164160132408143,0.8445
16,1082.0,1335.0,39.0,53.0,0.9652096342551294,0.9533039647577093,0.9592198581560283,0.963332004782782,1.5997720599174499,0.8612
17,1116.0,1333.0,56.0,19.0,0.9522184300341296,0.9832599118942731,0.9674902470741222,0.9702852614896988,1.5962148904800415,0.8648
18,1115.0,1462.0,77.0,20.0,0.9354026845637584,0.9823788546255506,0.9583154275891707,0.9637247569184741,1.6094232439994811,0.8518
19,1112.0,1784.0,90.0,23.0,0.9251247920133111,0.9797356828193833,0.9516474112109542,0.9624459953472915,1.6416523933410645,0.8193
20,1122.0,1566.0,160.0,13.0,0.875195007800312,0.9885462555066079,0.9284236657012825,0.9395316322963999,1.6190556764602662,0.8421
