epoch,TP,TN,FP,FN,precision,recall,f1_score,accuracy,average_loss,overall_accuracy
0,0.0,7718.0,0.0,974.0,,,,0.8879429360331339,2.3022969722747804,0.1308
1,664.0,1866.0,196.0,310.0,0.772093023255814,0.6817248459958932,0.7241003271537623,0.8333333333333334,1.677387034893036,0.7824
2,810.0,2024.0,444.0,164.0,0.645933014354067,0.8316221765913757,0.7271095152603232,0.8233585124927367,1.6789013743400574,0.7812
3,727.0,1023.0,75.0,247.0,0.9064837905236908,0.7464065708418891,0.8186936936936937,0.8445945945945946,1.587458562850952,0.873
4,740.0,1148.0,71.0,234.0,0.9124537607891492,0.7597535934291582,0.8291316526610645,0.8609211126310989,1.5992927312850953,0.8618
5,862.0,1214.0,291.0,112.0,0.7476149176062445,0.8850102669404517,0.8105312646920545,0.8374344493747479,1.5929574489593505,0.8674
6,839.0,1146.0,165.0,135.0,0.8356573705179283,0.8613963039014374,0.8483316481294237,0.8687089715536105,1.5890753388404846,0.8719
7,851.0,1228.0,276.0,123.0,0.7551020408163265,0.8737166324435318,0.8100904331270823,0.8389830508474576,1.5958874106407166,0.8649
8,679.0,1042.0,57.0,295.0,0.9225543478260869,0.6971252566735113,0.7941520467836258,0.8301977809937289,1.5946173429489137,0.8663
9,891.0,1429.0,412.0,83.0,0.6838066001534919,0.9147843942505134,0.782608695652174,0.8241563055062167,1.611895501613617,0.8488
10,733.0,1344.0,77.0,241.0,0.9049382716049382,0.7525667351129364,0.8217488789237668,0.867223382045929,1.6194698333740234,0.8415
11,769.0,1417.0,109.0,205.0,0.8758542141230068,0.7895277207392197,0.8304535637149028,0.8744,1.6232002139091493,0.8378
12,674.0,1216.0,56.0,300.0,0.9232876712328767,0.6919917864476386,0.7910798122065728,0.8414959928762245,1.6124974489212036,0.8484
13,695.0,1356.0,81.0,279.0,0.895618556701031,0.7135523613963038,0.7942857142857144,0.8506843633347159,1.6244839429855347,0.8365
14,787.0,1401.0,185.0,187.0,0.8096707818930041,0.8080082135523614,0.8088386433710175,0.8546875,1.619852888584137,0.8412
15,874.0,1455.0,434.0,100.0,0.6681957186544343,0.8973305954825462,0.7659947414548641,0.8134823611596228,1.6164160132408143,0.8445
16,737.0,1151.0,100.0,237.0,0.8805256869772998,0.7566735112936345,0.8139149641082275,0.8485393258426966,1.5997720599174499,0.8612
17,774.0,1152.0,112.0,200.0,0.873589164785553,0.7946611909650924,0.832258064516129,0.8605898123324397,1.5962148904800415,0.8648
18,759.0,1267.0,135.0,215.0,0.8489932885906041,0.7792607802874744,0.8126338329764454,0.8526936026936027,1.6094232439994811,0.8518
19,747.0,1580.0,119.0,227.0,0.8625866050808314,0.7669404517453798,0.8119565217391305,0.8705574261129817,1.6416523933410645,0.8193
20,576.0,1181.0,48.0,398.0,0.9230769230769231,0.5913757700205339,0.72090112640801,0.7975487970948706,1.6190556764602662,0.8421
